Company Name,Domain,Vertical,Country,Tech Spend ($),Monthly Visits,Has Case Study Match,Emails,Phones,Social Links
Software Aktiengesellschaft,softwareag.com,Business And Industrial,DE,62190,97703,No,,+1-703-860-5050; +1-866-832-2448,twitter.com/softwareag; facebook.com/softwareag
BlueScope Steel Ltd,bluescope.com,Business And Industrial,AU,45920,56082,No,information@bluescope.com,,youtube.com/user/tvbluescope; linkedin.com/company/bluescope-steel
Ideal Industries Inc,idealindustries.com,Business And Industrial,,44583,10548,No,privacy@idealindustries.com; contactus@idealindustries.com,+1-815-895-5181; +1-610-323-1516,linkedin.com/company/ideal-industries
Amazon.com Inc,aboutamazon.com,Business And Industrial,,41637,,No,,,twitter.com/amazonnews; facebook.com/amazon
Widia Technologies Pvt Ltd,widia.com,Business And Industrial,US,40746,,No,,+1-800-979-4342; +1-724-539-6921,twitter.com/widiatools; facebook.com/widiatools
"Wesco International, Inc.",wesco.com,Business And Industrial,US,40671,,No,info@wesco.com,+1-412-454-2200; +1-877-237-9238,twitter.com/wescodist; facebook.com/wesco.corp
Waukesha Bearings Corporation,inpro-seal.com,Business And Industrial,US,40572,,No,info@inpro-seal.com,+1-309-787-6114; +1-800-447-0524,linkedin.com/company/inpro-seal-llc
FLEETCOR,fleetcor.com,Business And Industrial,US,39706,,No,press@fleetcor.com; privacy@fleetcor.com,+1-770-449-3471; +1-800-770-7060,twitter.com/fleetcor; facebook.com/fleetcor
,ihgresidences.com,,,39637,,No,,,
HealthSmart,healthsmart.com,"Law, Govt And Politics",US,39577,,No,marketing@healthsmart.com; sales@healthsmart.com,+1-214-574-3945; +1-800-444-3995,facebook.com/healthsmart; linkedin.com/company/healthsmart
Nouryon,akzonobel.com,Business And Industrial,NL,39388,,No,info@akzonobel.com; compliance@akzonobel.com,+61-4-72219040; +1-812-676-9144,twitter.com/akzonobel; facebook.com/akzonobel
MINI,mini.com.mx,Technology And Computing,MX,39307,,No,crm@mini.com.mx,,facebook.com/mini.mexico; instagram.com/minimexico
Nutanix,nutanix.cn,Technology And Computing,US,39284,,No,,+1-408-216-8300,facebook.com/nutanix; linkedin.com/company/nutanix
Armstrong World Industries,armstrongceilings.com,Business And Industrial,US,39040,,No,webmaster@armstrongceilings.com,+1-717-396-6354; +1-877-276-7876,facebook.com/armstrongcommercialceilings; youtube.com/user/armstrongceilings
BT Group PLC,btwholesale.com,Business And Industrial,US,38888,,No,,,linkedin.com/company/btwholesale
Robert Half International,roberthalf.com,Business And Industrial,US,38603,,No,,+1-201-680-6578; +1-650-234-6000,twitter.com/roberthalf; instagram.com/roberthalf
Nissan Motors India Pvt Ltd,nissan.in,Automotive And Vehicles,IN,38495,,No,,+1-800-209-3456,twitter.com/nissan_india; facebook.com/nissanindia
ALLIANZ INFORMATIQUE G.I.E,allianz.fr,Sports,FR,38122,,No,,+33-1-58851500,twitter.com/allianzfrance; facebook.com/allianzvoyage
Bo Sommarland AS,sommarland.no,Shopping,NO,38105,,No,,,twitter.com/bosommarland; facebook.com/sommarland
Unilever Food Solutions,ufs.com,Food And Drink,US,37909,,No,,,youtube.com/user/ufsnorthamerica
Corteva,corteva.com.au,Business And Industrial,AU,37750,,No,,,twitter.com/cortevaaus; facebook.com/cortevaaus
,hawaiianairlinesbohcard.com,Travel,US,37640,,No,,+1-866-698-0236,facebook.com/hawaiianairlines; twitter.com/HawaiianAir
Ad Practitioners LLC,getfrontiercard.com,Art And Entertainment,US,37640,,No,,,
University of Sydney,sydney.edu.au,Science,AU,37240,,No,support@sydney.edu.au,+61-29-9213485; +61-28-6270246,twitter.com/sydney_uni; facebook.com/sydneyuni
Cooper US Inc,cooperlighting.com,Business And Industrial,US,36875,,No,privacy@cooperlighting.com,+1-866-461-7819; +1-800-555-0050,twitter.com/lighting_cooper; facebook.com/cooperlightingsolutions
Chevrolet Mexico,chevrolet.com.mx,Automotive And Vehicles,MX,36843,,No,,,twitter.com/chevroletmexico; facebook.com/chevroletmexico
Allianz SE,allianz.pl,"Law, Govt And Politics",PL,36754,,No,compliance@allianz.pl,,youtube.com/user/allianzpolska; facebook.com/allianzpolska
"Pioneer Hi-Bred International, Inc.",pioneer.com,Science,US,36692,,No,support@pioneer.com,+1-515-535-4415; +1-800-233-7333,twitter.com/pioneerseeds; facebook.com/pioneerseeds
Footlocker.com,footlocker.eu,Art And Entertainment,US,36510,,No,,,
,medtronicdm.com,Unknown,,36440,,No,,,twitter.com/medtronic; facebook.com/medtronic
Nissan,nissan.nl,Automotive And Vehicles,NL,36437,,No,,+31-20-3549620; +44-800-0231513,twitter.com/nissan_nl; facebook.com/nissannederland
Navico,navico.com,Business And Industrial,US,36354,,No,media@navico.com,+1-617-413-6521; +1-918-438-8615,linkedin.com/company/navico
,fsvpaymentsystems.com,Business And Industrial,US,36285,,No,,+1-904-470-1700; +1-800-809-0738,
Bose,bose.tw,Automotive And Vehicles,US,35574,,No,,,facebook.com/bosetaiwan; linkedin.com/company/bose-corporation
Allianz Nederland,allianz.nl,Business And Industrial,NL,35216,,No,,+31-10-4541911; +31-20-5502888,twitter.com/allianznl; facebook.com/allianznl
Dubai Airshow,dubaiairshow.aero,Business And Industrial,GB,35059,,No,,+1-203-374-0070; +1-910-400-0225,twitter.com/dubaiairshow; facebook.com/dubaiairshow
Bose,bose.pe,Technology And Computing,US,35037,,No,,+1-508-879-7330,linkedin.com/company/bose-corporation; twitter.com/bose
Bridgestone,bridgestone.cl,Art And Entertainment,US,34915,,No,,,twitter.com/bridgestone; facebook.com/bridgestonetires
Allianz Seguros,allianz.com.mx,Finance,MX,34671,,No,,,twitter.com/allianzmexico; facebook.com/allianzmexico1
HOFER,hofer.at,Sports,US,34639,,No,kontakt@kundenservice.hofer.at,,instagram.com/hoferat; youtube.com/user/hoferat
Vodafone Idea Ltd,myvi.in,Business And Industrial,IN,34550,,No,,,linkedin.com/company/vodafone-idea-limited
Stanford University School of Medicine,med.stanford.edu,Unknown,US,34431,,No,,,twitter.com/stanfordmed; facebook.com/stanfordmedicine
Radley + Co. Limited,radley.co.uk,Style And Fashion,GB,34075,,No,customercare@radley.co.uk,+1-207-741-1055; +44-207-7411055,twitter.com/radley_london; facebook.com/radleylondon
TUSENFRYD AS,tusenfryd.no,Shopping,NO,34065,,No,firmapost@tusenfryd.no,+4764976497,facebook.com/tusenfryd; youtube.com/user/tusenfrydas
Zions Bancorporation,zionsbank.com,Finance,US,34019,,No,,+1-801-844-7979; +1-800-288-6386,twitter.com/zionsbank; facebook.com/zionsbank
Nissan,nissan.no,Automotive And Vehicles,FR,33825,,No,,+33-6-11103755; +33-1-07093835,facebook.com/nissannorge; youtube.com/user/nissannorway
CeraWeek,ceraweek.com,Business And Industrial,US,33755,,No,,+1-800-300-7898; +1-303-858-6187,facebook.com/ceraweek; twitter.com/ceraweek
John Lewis Financial Services Ltd,johnlewisfinance.com,Finance,GB,33552,,No,,+44-34-53003833,facebook.com/johnlewisretail; twitter.com/JohnLewisRetail
Allianz SE,allianz.it,Finance,DE,33503,,No,,+49-5032-630963,youtube.com/user/allianzitalia; linkedin.com/company/allianz-italia
Fiat Automobiles S.p.A.,fiat.com,Automotive And Vehicles,IT,33429,,No,customercare@store.fiat.com,+44-79-73780013; +44-238-7250307,twitter.com/fiat; pinterest.com/fiatontheweb
ChevroletEcuador,chevrolet.com.ec,Automotive And Vehicles,EC,33377,,No,,,facebook.com/chevroletecuador; instagram.com/chevroletecuador
Sennheiser,sennheiser-hearing.com,Technology And Computing,US,33358,,No,,,twitter.com/sennheiser_uk; facebook.com/sennheiseruk
Heroes Vacation Club,heroesvacationclub.com,Travel,US,33358,,No,,+1-317-805-9975; +1-877-867-3639,facebook.com/heroesvacationclub; instagram.com/heroesvacationclub
Weltvogelpark,weltvogelpark.de,Travel,DE,33305,,No,info@weltvogelpark.de,+49531082019; +4949516160440,twitter.com/weltvogelparkw; facebook.com/weltvogelpark
Nissan,nissan.it,Automotive And Vehicles,IT,33165,,No,,+39-06-90808777,facebook.com/nissanitalia; youtube.com/user/nissanitalia
Allianz Malaysia Berhad,allianz.com.my,Business And Industrial,MY,33010,,No,customer.service@allianz.com.my; privacy@allianz.com.my,,facebook.com/allianzmalaysia; instagram.com/allianzmalaysia
proinity LLC,top-db.com,Technology And Computing,,32929,,No,,,
Boston Pizza International Inc,bostonpizza.com,Food And Drink,CA,32906,,No,privacy@bostonpizza.com; info@bostonpizza.com,+1-604-270-4553; +1-905-848-1440,twitter.com/bostonpizza; facebook.com/bostonpizza
,gmenvolve.com,Unknown,,32837,,No,,,facebook.com/gmenvolve; instagram.com/gmenvolve
Enel S.p.A.,enel.com,Business And Industrial,DE,32555,,No,,+34-934-061003; +34-696-773785,twitter.com/enelgroup; youtube.com/user/enelvideo
Chevron U.S.A. Inc,chevroncontechron.com,Unknown,,32385,,No,,,facebook.com/chevron; instagram.com/chevron
Nissan,nissan.se,Automotive And Vehicles,FR,32275,,No,,+33-7-03152335; +33-8-26133432,facebook.com/nissansverige; youtube.com/user/nissansverige
Mastercard,mastercard.fr,Business And Industrial,,32200,,No,,,twitter.com/mastercardfr; facebook.com/mastercardfrance
kwiktripfleet,kwiktripfleet.com,Technology And Computing,US,32030,,No,,+1-844-271-5652; +1-877-739-3835,twitter.com/kwiktrip; facebook.com/kwiktrip
Parker & Sons,parkerandsons.com,Technology And Computing,US,32000,,No,customerservice@parkerandsons.com,+1-602-273-7247; +1-480-963-1829,linkedin.com/company/parker-and-sons; twitter.com/ParkerandSons
Immobilien Scout GmbH,immobilienscout24.de,Business And Industrial,DE,31860,,No,presse@immobilienscout24.de; service@immobilienscout24.de,+49-30-243011200; +49-30-243010120,twitter.com/immobilienscout; facebook.com/immobilienscout24
,gatewaytoyota.com,Automotive And Vehicles,US,31670,,No,,+17322444455; +18664230340,twitter.com/gateway_toyota; facebook.com/gatewaytoyota
,northlandam.com,,,31540,,No,,,
HOFER,hofer.si,"Law, Govt And Politics",,31420,,No,,,facebook.com/hoferslo; instagram.com/hoferslo
TDS Telecommunications Corporation,tdstelecom.com,Technology And Computing,US,31410,,No,privacy@tdstelecom.com,+1-866-571-6662; +1-800-778-7879,facebook.com/tdstelecommunications; pinterest.com/tdstelecom
Szott M59 Toyota,szottm59toyota.com,Automotive And Vehicles,US,31350,,No,,+1-855-971-7935; +1-877-457-5577,facebook.com/szottm59toyotascion; youtube.com/user/szottm59toyota
Allianz SE,allianz.de,Art And Entertainment,DE,31257,,No,info@allianz.de,+44-800-4710201; +44-800-4400102,twitter.com/allianz_de; facebook.com/allianzkarriere
,supplysideconnect.com,Unknown,GB,31238,,No,,,
,fptgroup.com,Technology And Computing,GB,31137,,No,sales@fptgroup.com,,
United HealthCare Services Inc,aarpmedicareplans.com,Business And Industrial,US,31099,,No,,+1-877-699-5710; +1-844-850-6592,
Avis Budget Group,avisbudgetgroup.com,Business And Industrial,US,31074,,No,support@avisbudgetgroup.com,+1-973-496-5510; +1-973-496-4700,twitter.com/goavisbudget; facebook.com/avisbudgetgroupcareers
Enterprise Car Club Ltd,enterprisecarclub.co.uk,Technology And Computing,GB,31074,,No,membership@enterprisecarclub.co.uk; home@enterprisecarclub.co.uk,+44-34-52669290,twitter.com/enterprisecarc; facebook.com/enterprisecarclub
Allmand Bros Inc,allmand.com,Business And Industrial,US,30980,,No,info@allmand.com,+1-308-995-4495; +1-800-222-1222,facebook.com/allmandbrothersinc; linkedin.com/company/allmand-bros.-inc.
Mastercard,mastercard.nl,Business And Industrial,US,30970,,No,,+1-800-627-8372,twitter.com/mastercardnl; facebook.com/mastercardnl
Magnolia Health Plan,magnoliahealthplan.com,Technology And Computing,US,30930,,No,,+1-866-912-6285; +1-877-725-7753,twitter.com/magnolia_health; instagram.com/magnoliahealthplan
VRAYLAR CO,vraylar.com,Health And Fitness,US,30787,,No,,+1-866-961-2388; +1-800-678-1605,facebook.com/vraylar; instagram.com/vraylar_rx
divvyDOSE,divvydose.com,Technology And Computing,US,30577,,No,hello@divvydose.com; help@divvydose.com,+1-844-693-4889,twitter.com/divvydose; facebook.com/divvydose
www.carelonbehavioralhealth.com,carelonbehavioralhealth.com,"Law, Govt And Politics",US,30522,,No,,+1-866-612-7795; +1-800-397-1630,linkedin.com/company/carelon-behavioral-health
Williams Comfort Air,williamscomfortair.com,Business And Industrial,US,30325,,No,info@williamscomfortair.com; president@williamscomfortair.com,+1-317-870-1764; +1-317-660-6992,facebook.com/williamscomfortair; linkedin.com/company/williams-comfort-air
Allianz Ireland,allianz.ie,Business And Industrial,IE,29910,,No,info@allianz.ie,,facebook.com/allianzireland; youtube.com/user/allianzireland
,novonordiskpro.fr,Unknown,,29902,,No,,,twitter.com/novonordisk
AIA Company Ltd,aia.co.th,Technology And Computing,CN,29855,,No,,,facebook.com/thailandaia; youtube.com/user/thailandaia
Landis Gyr GmbH,landisgyr.eu,Business And Industrial,BR,29710,,No,,+1-212-876-2273; +1-678-258-1321,twitter.com/landisgyr; facebook.com/landisgyr
GRUPO NACIONAL PROVINCIAL S.A.B,gnp.com.mx,Society,MX,29699,,No,,+525552279000,twitter.com/gnpseguros; facebook.com/gnpseguros
Bose,bose.se,Technology And Computing,NL,29634,,No,,+31-77-4430430; +31-77-0930100,twitter.com/bosese; facebook.com/bosesverige
Bose,bose.dk,Technology And Computing,NL,29634,,No,,,linkedin.com/company/bose-corporation; twitter.com/bose
Kellogg Company,kelloggsawayfromhome.com,Food And Drink,US,29500,,No,,+1-877-511-5777,facebook.com/kelloggsawayfromhome; instagram.com/kelloggsawayfromhome
Solidigm,solidigm.com,Business And Industrial,US,29488,,No,,,facebook.com/solidigm; linkedin.com/company/solidigmtechnology
,supplysideglobal.com,Unknown,GB,29438,,No,,,twitter.com/supplyside; facebook.com/supplysidenetwork
Shredding Secure Paper Shredding Services,shredit.ie,Business And Industrial,US,29317,,No,,+44-800-0281164,twitter.com/shredit; facebook.com/shredit
Enterprise Holdings Inc,enterprise.dk,Technology And Computing,DK,29293,,No,,,twitter.com/ukenterprise; facebook.com/enterprisedanmark
Intense Lighting,intenselighting.com,Home And Garden,US,29250,,No,info@intenselighting.com,+1-714-630-9883; +1-800-504-2650,facebook.com/intenseltg; linkedin.com/company/intense-lighting
Costco Payment Processing LLC,costcopaymentprocessing.com,Business And Industrial,US,29247,,No,,+1-800-551-0951; +1-866-325-3281,
,boothehvac.com,Style And Fashion,US,29178,,No,info@boothehvac.com,+1-301-880-1529; +1-301-373-4247,facebook.com/boothehvac; instagram.com/boothehvac
Novo Nordisk,novonordisk.pl,Technology And Computing,AL,29170,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Bose,bose.pl,Technology And Computing,NL,29097,,No,,,linkedin.com/company/bose-corporation; twitter.com/bose
Bever B.V,bever.nl,Home And Garden,NL,29080,,No,,+31-85-8885088,twitter.com/bevernl; facebook.com/bevernl
Enel S.p.A,enelgreenpower.com,Business And Industrial,DE,29020,,No,,+1-978-681-7727; +61-888-812100,facebook.com/enelgreenpower.world; instagram.com/enelgreenpower
Mr. Plumber,mrplumberatlanta.com,Technology And Computing,US,28838,,No,,+1-770-777-1111; +1-770-284-3581,twitter.com/mrplumberatl; facebook.com/mrplumberatlanta
,vyalevhcp.com,Unknown,US,28620,,No,,,
Contacta con nosotros,enterprise.es,Technology And Computing,GB,28490,,No,,+34-902-100101; +34-917-820130,
PNB MetLife,pnbmetlife.com,Finance,IN,28404,,No,alert@pnbmetlife.com,,twitter.com/pnbmetlife1; facebook.com/pnbmetlife
Schindler Group,schindler.com.tr,Careers,TR,28315,,No,,,
Zillow Inc,bhgre.com,Real Estate,US,28211,,No,,+1-973-407-4666; +1-877-221-2765,twitter.com/bhgre_winans; facebook.com/bhgre.rp
Thermo Fisher Scientific,thermofisher.cn,Unknown,US,28194,,No,,,twitter.com/thermofisher; facebook.com/thermofisher
,medevicesiliconvalley.com,,,28142,,No,,,
Lee Health Optional Benefits,leehealthoptionalbenefits.com,Finance,US,27990,,No,,+1-800-503-9230; +1-800-336-9421,
Mercer LLC,voluntarybenefitsforchevron.com,Finance,US,27990,,No,,+1-800-274-4833,
Cook County Voluntary Benefits,cookcountyvoluntarybenefits.com,Finance,US,27990,,No,,+1-800-698-2849,
FLSmidth Voluntary Benefits,flsmidthvoluntarybenefits.com,Finance,US,27990,,No,,+1-800-578-5696,
Hearst Voluntary Benefits,hearstvoluntarybenefits.com,Finance,US,27990,,No,,+1-855-206-9443,
,cupraofficial.eg,Technology And Computing,EG,27905,,No,,,facebook.com/cupra-egypt-107148821934429; instagram.com/cupra_eg
asadventure inc,asadventure.nl,Shopping,BE,27865,,No,,+31-20-2611833; +31-85-8885165,twitter.com/asadventure; facebook.com/asadventure
Magic Fashion Events,magicfashionevents.com,Hobbies And Interests,GB,27865,,No,,,facebook.com/magicfashionevents; linkedin.com/company/magicfashionevents
Allianz Telefono numeris,allianz.lt,Unknown,,27840,,No,info@allianz.lt,,facebook.com/allianzlietuva; linkedin.com/company/allianzlietuva
PTI Security Systems,ptisecurity.com,Technology And Computing,US,27661,,No,sales@ptisecurity.com; privacy@ptisecurity.com,+1-480-257-2600; +1-800-331-6224,instagram.com/ptisecuritysystems
American Bureau of Shipping,eagle.org,Business And Industrial,US,27653,,No,,+1-281-877-6499; +1-281-877-6306,twitter.com/abseagle
Creature Comforts Animal Inn,ccanimalinn.com,Pets,US,27575,,No,info@ccanimalinn.com,+1-860-599-1784; +1-877-470-5707,
,stage-leqselvi.com,,,27485,,No,,,
chevroletperu,chevrolet.com.pe,Automotive And Vehicles,PE,27377,,No,,,facebook.com/chevroletperu; youtube.com/user/chevroletperuoficial
Traka Automation Ltd,traka.com,Technology And Computing,US,27278,,No,info@traka.com,,facebook.com/trakausa; pinterest.com/trakausa
YorkStateBank,yorkstatebank.com,Finance,US,27110,,No,,+1-402-362-4411; +1-800-395-0637,facebook.com/yorkstatebank
Schindler Terminos,schindler.com.ve,Unknown,VE,27040,,No,,,twitter.com/schindlergroup; facebook.com/schindlergroup
Nissan,nissan.si,Automotive And Vehicles,SI,26957,,No,,,twitter.com/nissanslovenija; facebook.com/nissan.slovenija
Cognizant Foundation,cognizantfoundation.org,Education,,26900,,No,donations@cognizantfoundation.org,,facebook.com/cognizantfoundation; linkedin.com/company/cognizant-foundation
Nissan Ireland Ltd.,nissan.ie,Automotive And Vehicles,IE,26857,,No,postmaster@nissan.ie; sales@nissan.ie,,facebook.com/nissanireland; youtube.com/user/nissanireland
Colpofer,colpofer.org,Art And Entertainment,IT,26800,,No,,,
Allianz Insurance Lanka Ltd,allianz.lk,Business And Industrial,LK,26790,,No,privacy@allianz.lk; info@allianz.lk,,youtube.com/user/allianz; facebook.com/allianzinsurancesrilanka
CupraOfficial,cupraofficial.fr,Automotive And Vehicles,FR,26775,,No,,,instagram.com/cupra_france; vimeo.com/cupraofficial
,financierehorizons.com,Unknown,CA,26710,,No,,+1-519-742-4474; +1-877-711-1388,facebook.com/financierehorizons; linkedin.com/company/financierehorizons
Securian Canada,securiancanada.ca,Finance,CA,26465,,No,,+1-844-894-0378; +1-877-363-2773,linkedin.com/company/securian-canada
The Beverly Bank,thebeverlybank.com,Finance,US,26450,,No,,+1-773-239-2265; +1-847-939-9050,twitter.com/thebeverlybank; facebook.com/thebeverlybank
Downers Grove Bank & Trust Co,downersgrovebank.com,Finance,US,26450,,No,,+1-630-968-4700; +1-630-323-4404,facebook.com/downersgrovebank
Deerfield Bank,deerfieldbank.com,Finance,US,26450,,No,,+1-847-945-8660; +1-847-939-9050,facebook.com/deerfieldbank
,medicuspensionplan.com,Finance,CA,26440,,No,media@medicuspensionplan.com; privacy@medicuspensionplan.com,+1-844-380-2735,
PT Hexindo Adiperkasa Tbk,hexindo-tbk.co.id,Technology And Computing,IN,26415,,No,,,finance.yahoo.com/quote/HEXA.JK/
Man's Best Friend,mansbestfriend.com,Business And Industrial,US,26342,,No,,+1-469-619-0593; +1-800-838-4756,instagram.com/mansbestfriend_texas; facebook.com/mansbestfriendtexas
Novo Nordisk,novonordisk.si,Technology And Computing,SI,26317,,No,info@novonordisk.si,,twitter.com/novonordisk; facebook.com/novonordisk
SEAT S.A,cupraofficial.es,Finance,ES,26305,,No,,+34-937-085270; +34-900-100113,instagram.com/cupra_esp; vimeo.com/cupraofficial
MetLife Inc.,metlife.co.jp,Health And Fitness,JP,26290,,No,,,twitter.com/metlifejp; facebook.com/metlife.co.jp
Sabal Chase Animal Clinic,sabalchaseanimalclinic.com,Pets,US,26245,,No,,+1-305-827-9664; +1-305-595-1450,facebook.com/sabalchaseanimalclinicmiamifl; pinterest.com/sabalchasevet
Novo Nordisk,novonordisk.sg,Business And Industrial,SG,26182,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
,cotacchevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/cotac.chevrolet; youtube.com/user/chevroletbrasil
,cvcchevroletguarapari.com.br,Automotive And Vehicles,,26177,,No,,,instagram.com/cvcchevrolet
,cipautochevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/cipauto; instagram.com/chevroletcipauto
oestechevrolet Se,oestechevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/oestechevrolet; instagram.com/oestechevrolet
,ccvcatarinensechevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/ccvcatarinensechevrolet; instagram.com/ccvcatarinense
,sponchiadochevroletcaxias.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/sponchiadochevroletoficial; instagram.com/sponchiadochevrolet
ChemarautoChevrolet Se,chemarautochevrolet.com.br,Unknown,,26177,,No,,,facebook.com/chemarautochevrolet; instagram.com/chemarauto_veiculos
,autoshowchevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/autoshowconcordia; instagram.com/autoshowconcordia
,chevroletuvelbrusque.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/uvelbrusque
,cvcchevroletnovavenecia.com.br,Automotive And Vehicles,,26177,,No,,,instagram.com/cvcchevrolet
,caxangachevrolet.com.br,Automotive And Vehicles,,26177,,No,,,facebook.com/caxangaveiculosoficial; instagram.com/caxangaveiculos
,daosilveirachevrolet.com.br,Automotive And Vehicles,BR,26177,,No,,+558421018000,facebook.com/daosilveira; instagram.com/daosilveirachevrolet
Vicwest,vicwest.com,Business And Industrial,CA,26125,,No,info@vicwest.com,+1-707-359-2286; +1-819-758-0666,facebook.com/vicwestbuildingproducts; linkedin.com/company/vicwest-corporation
Chugai Pharmaceutical Co,chugai-pharm.jp,Unknown,JP,26125,,No,,,
Nissan,nissan.lu,Automotive And Vehicles,LU,26100,,No,,+33-8-38306068; +33-2-06092046,facebook.com/nissanbelux; youtube.com/user/nissanbelux
,dentemaxportal.com,Unknown,,25940,,No,,,x.com/portal
,chevroletpesadocastro.com.ar,Automotive And Vehicles,,25937,,No,,+1-341-437-1008,twitter.com/pcchevrolet; facebook.com/pesadocastromotors
