Rank,Company,Domain,Vertical,Country,ICP Tier,ICP Score,Monthly Visits,Tech Spend,Has Case Study Match
34,Nissan Ireland Ltd.,nissan.ie,Automotive And Vehicles,IE,Tier 1,60,,26857,No
35,CupraOfficial,cupraofficial.fr,Automotive And Vehicles,FR,Tier 1,60,,26775,No
36,MetLife Inc.,metlife.co.jp,Health And Fitness,JP,Tier 1,60,,26290,No
37,Sabal Chase Animal Clinic,sabalchaseanimalclinic.com,Pets,US,Tier 1,60,,26245,No
38,,cotacchevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
39,,cvcchevroletguarapari.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
40,,cipautochevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
41,oestechevrolet Se,oestechevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
42,,ccvcatarinensechevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
43,,sponchiadochevroletcaxias.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
44,,autoshowchevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
45,,chevroletuvelbrusque.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
46,,cvcchevroletnovavenecia.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
47,,caxangachevrolet.com.br,Automotive And Vehicles,,Tier 1,60,,26177,No
48,,daosilveirachevrolet.com.br,Automotive And Vehicles,BR,Tier 1,60,,26177,No
49,Nissan,nissan.lu,Automotive And Vehicles,LU,Tier 1,60,,26100,No
50,,chevroletpesadocastro.com.ar,Automotive And Vehicles,,Tier 1,60,,25937,No
51,,chevroletlago.com.ar,Automotive And Vehicles,,Tier 1,60,,25937,No
52,Nissan,nissan.co.il,Automotive And Vehicles,IL,Tier 1,60,,25715,No
53,Kellogg NA Co,cheezit.com,Food And Drink,US,Tier 1,60,,25624,No
54,,fi-events.com.br,Food And Drink,GB,Tier 1,60,,25465,No
55,Cadillac Canada,cadillaccanada.ca,Automotive And Vehicles,CA,Tier 1,60,,25254,No
56,Mercedes-Benz,mbusa.com,Automotive And Vehicles,US,Tier 1,60,,25143,No
57,Golden Outlook Insurance Services,goldenoutlook.com,Pets,US,Tier 1,60,,25060,No
58,Allianz SE,allianz.hu,Sports,HU,Tier 1,50,,24975,No
59,Mastercard,mastercard.fi,Shopping,FI,Tier 1,50,,24800,No
60,Mastercard,mastercard.it,Pets,IT,Tier 1,50,,24800,No
61,Novo Nordisk,novonordisk.se,Health And Fitness,SE,Tier 1,50,,24617,No
62,Alecensa,alecensa.com,Health And Fitness,,Tier 1,50,,24604,No
63,,saltlakemoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
64,,clairemontsmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
65,SoDo Smiles Dentistry,sodosmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
66,Woods Dental Group,woodsdentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
67,Downey Promenade Dental Group,downeypromenadedentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
68,Mesquite Dental Group,mesquitedentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
69,Daniels Modern Dentistry,danielsmoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
70,Monet Dental Group,monetdentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
71,Snellville Smiles Dentistry,snellvillesmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
72,Dentists of Rowlett,dentistsofrowlett.com,Health And Fitness,US,Tier 1,50,,24301,No
73,,dentistsofstudiocity.com,Health And Fitness,US,Tier 1,50,,24301,No
74,Hemet Modern Dentistry,hemetmoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
75,,renomoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
76,Downey Modern Dentistry,downeymoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
77,,sugarlandmoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
78,,mesavalleymoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
79,Catalina Smiles Dentistry,catalinasmiles.com,Health And Fitness,US,Tier 1,50,,24301,No
80,Desert Crossing Dental Group,desertcrossingdental.com,Health And Fitness,US,Tier 1,50,,24301,No
81,Tangerine Dental Group,tangerinedentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
82,Southcenter Modern Dentistry,southcentermoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
83,Dentists of Glendale,dentistsofglendale.com,Health And Fitness,US,Tier 1,50,,24301,No
84,Sparks Marina Dentistry,sparksmarinadentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
85,East Murrieta Dental Group,eastmurrietadental.com,Health And Fitness,US,Tier 1,50,,24301,No
86,Santee Smiles Dentistry,santeesmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
87,,scottsdaleandsheadentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
88,,dentistsoflakeworth.com,Health And Fitness,US,Tier 1,50,,24301,No
89,,dentistsofhighlandpark.com,Health And Fitness,US,Tier 1,50,,24301,No
90,Spring Market Dental Group,springmarketdentalgroup.com,Health And Fitness,AU,Tier 1,50,,24301,No
91,Woodbridge Dental Group,woodbridgedentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
92,,simivalleysmiles.com,Health And Fitness,US,Tier 1,50,,24301,No
93,,cheyennemtnmoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
94,Bristow Fountain Dentistry,bristowfountaindentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
95,Mission Valley Dentists,missionvalleydentists.com,Health And Fitness,US,Tier 1,50,,24301,No
96,Bulverde Dentistry,bulverdedentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
97,,montecitotowncenterdental.com,Health And Fitness,US,Tier 1,50,,24301,No
98,Elk Grove Dental Group,elkgrovedental.com,Health And Fitness,US,Tier 1,50,,24301,No
99,Champlin Dentistry,champlindentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
100,Promenade Dental Group,promenadedentist.com,Health And Fitness,US,Tier 1,50,,24301,No
101,,deerspringsmoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
102,,marylandparkwaysmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
103,Springdale Modern Dentistry,springdalemoderndentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
104,Lindero Canyon Dental Group,linderocanyondentalgroup.com,Health And Fitness,US,Tier 1,50,,24301,No
105,,dentistsofanaheimhills.com,Health And Fitness,US,Tier 1,50,,24301,No
106,,nuttreesmilesdentistry.com,Health And Fitness,US,Tier 1,50,,24301,No
107,Dentists of Hanover,dentistsofhanover.com,Health And Fitness,US,Tier 1,50,,24301,No
108,,botoxone.com,Health And Fitness,,Tier 1,50,,24220,No
109,Pro Health MD Network,prohealthmd.com,Health And Fitness,US,Tier 1,50,,24194,No
110,Viera Modern Dentistry,vieramoderndentistry.com,Health And Fitness,US,Tier 1,50,,23991,No
111,"Nissan Slovakia, s.r.o",nissan.sk,Automotive And Vehicles,FR,Tier 1,50,,23828,No
112,,dentistsofcampuscommons.com,Health And Fitness,US,Tier 1,50,,23811,No
113,,hemetkidsdental.com,Health And Fitness,US,Tier 1,50,,23811,No
114,,lakeworthmoderndentistry.com,Health And Fitness,US,Tier 1,50,,23811,No
115,Clemson Modern Dentistry,clemsonmoderndentistry.com,Health And Fitness,US,Tier 1,50,,23811,No
116,Belton Modern Dentistry,beltonmoderndentistry.com,Health And Fitness,US,Tier 1,50,,23811,No
117,,thedentalofficeofchandler.com,Health And Fitness,US,Tier 1,50,,23811,No
118,,stonebridgemoderndentistry.com,Health And Fitness,US,Tier 1,50,,23811,No
119,,dentistsofwestseattle.com,Health And Fitness,US,Tier 1,50,,23811,No
120,,newmarkmoderndentistry.com,Health And Fitness,US,Tier 1,50,,23811,No
121,,thedentalofficeofmckinney.com,Health And Fitness,US,Tier 1,50,,23811,No
122,Nissan,nissan.ro,Automotive And Vehicles,JP,Tier 1,50,,23800,No
123,Nissan Islandi,nissan.is,Automotive And Vehicles,JP,Tier 1,50,,23800,No
124,AbbVie Inc,faceyourbackpain.com,Health And Fitness,US,Tier 1,50,,23640,No
125,Genentech USA Inc,columvi-hcp.com,Health And Fitness,,Tier 1,50,,23487,No
126,Escolha endesa,escolhaendesa.pt,Sports,,Tier 1,50,,23345,No
127,AbbVie Inc,rinvoqpr.com,Health And Fitness,US,Tier 1,50,,23320,No
128,Nissan Motor Latvia S.L,nissan.lv,Automotive And Vehicles,FR,Tier 1,50,,23299,No
129,"OnePlus Technology (Shenzhen) Co., Ltd.",oneplus.com,Health And Fitness,US,Tier 1,50,,23073,No
130,Abbott Laboratories,latam.abbott,Health And Fitness,AR,Tier 1,50,,23040,No
131,Service de destruction securisees de documents,shredit.fr,Health And Fitness,FR,Tier 1,50,,23007,No
132,Colgate Palmolive GmbH,colgate.at,Health And Fitness,US,Tier 1,50,,22836,No
133,Mastercard,mastercard.hr,Pets,US,Tier 1,50,,22800,No
134,Mastercard,mastercard.kz,Pets,US,Tier 1,50,,22800,No
135,Mastercard,mastercard.lu,Pets,LU,Tier 1,50,,22800,No
136,Hemlibra Inc,hemlibra.com,Health And Fitness,US,Tier 1,50,,22584,No
137,Sormlands Sparbank,sormlandssparbank.se,Automotive And Vehicles,ES,Tier 1,50,,22532,No
138,www.healthybluenc.com,healthybluenc.com,Food And Drink,US,Tier 1,50,,22160,No
139,Das Mezzanin Interiors GmbH,dasmezzanin.at,Food And Drink,,Tier 1,50,,21970,No
140,,atvidabergsspb.se,Health And Fitness,SE,Tier 1,50,,21700,No
141,SageRx Corporation,sagerx.com,Health And Fitness,US,Tier 1,50,,21557,No
142,Mercedes-Benz Ltd,mercedes-benz.com.cn,Automotive And Vehicles,CN,Tier 1,50,,21440,No
143,ChevroletParaguay,chevrolet.com.py,Automotive And Vehicles,,Tier 1,50,,21297,No
144,Nissan,nissan.re,Automotive And Vehicles,RE,Tier 1,50,,20939,No
145,,chevroletriogrande.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20337,No
146,Morris-Jenkins,morrisjenkins.com,Home And Garden,US,Tier 1,50,,20310,No
147,MINI,mini.com.mo,Automotive And Vehicles,DE,Tier 1,50,,20235,No
148,,landisgyr.se,Automotive And Vehicles,BR,Tier 1,50,,20210,No
149,,landisgyr.it,Automotive And Vehicles,BR,Tier 1,50,,20210,No
150,,landisgyr.de,Automotive And Vehicles,BR,Tier 1,50,,20210,No
151,,chevroletacuna.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
152,,chevroletoaxaca.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
153,,chevroletacapulco.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
154,,chevroletamericasmotors.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
155,,chevroletmotoresdemorelia.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
156,,chevroletze.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
157,,buickgmcsaltillo.com.mx,Automotive And Vehicles,MX,Tier 1,50,,20097,No
158,,vivendocomdiabetes.com.br,Health And Fitness,,Tier 1,50,,19655,No
159,,landisgyr.si,Automotive And Vehicles,,Tier 1,50,,19603,No
160,,landisgyr.es,Automotive And Vehicles,BR,Tier 1,50,,19603,No
161,ImmoScout24,immobilienscout24.at,Health And Fitness,AT,Tier 1,50,,19324,No
162,Tool Japan Co. Ltd,tooljapan.jp,Home And Garden,JP,Tier 1,50,,19197,No
163,Drinkjapan Inc,drinkjapan.jp,Food And Drink,JP,Tier 1,50,,19197,No
164,LAVAZZA S.p.A,lavazza.co.uk,Food And Drink,GB,Tier 1,50,,19050,No
165,PLEGRIDY inc,plegridy.com,Health And Fitness,US,Tier 1,50,,18700,No
166,,buickgmcanzures.com.mx,Automotive And Vehicles,MX,Tier 1,50,,18697,No
167,Severn Trent Water,stwater.co.uk,Food And Drink,GB,Tier 1,50,,18492,No
168,Lavazza RO,lavazza.ro,Food And Drink,RO,Tier 1,50,,18050,No
169,Lavazza SG,lavazza.sg,Food And Drink,IT,Tier 1,50,,18050,No
170,Lavazza PT,lavazza.pt,Food And Drink,PT,Tier 1,50,,18050,No
171,Fiat Group Automobiles S.p.A,fiat-india.com,Automotive And Vehicles,PH,Tier 1,50,,17600,No
172,,landisgyr.fr,Automotive And Vehicles,BR,Tier 1,50,,17060,No
173,,landisgyr.fi,Automotive And Vehicles,BR,Tier 1,50,,17020,No
174,Popsicle Foods,popsicle.com,Food And Drink,US,Tier 1,50,,16828,No
175,Volkswagen Group,volkswagengroup.it,Automotive And Vehicles,IT,Tier 1,50,,16800,No
176,,mastercard.gr,Pets,US,Tier 1,50,,16800,No
177,Mastercard,mastercard.hu,Pets,US,Tier 1,50,,16800,No
178,Mastercard,mastercard.no,Pets,,Tier 1,50,,16800,No
179,Colgate-Palmolive Company,colgate.hr,Health And Fitness,HR,Tier 1,50,,16733,No
180,,landisgyr.sk,Automotive And Vehicles,BR,Tier 1,50,,16710,No
181,,landisgyr.ch,Automotive And Vehicles,BR,Tier 1,50,,16710,No
182,,landisgyr.dk,Automotive And Vehicles,BR,Tier 1,50,,16710,No
183,HousecallsVisits Inc,housecallsvisit.com,Home And Garden,,Tier 1,50,,16397,No
184,"Alfa Romeo,Alfa Romeo",alfaromeo-lebanon.com,Automotive And Vehicles,US,Tier 1,50,,16200,No
185,,alfaromeo-bd.com,Automotive And Vehicles,,Tier 1,50,,16200,No
186,YYYY Colgate-Palmolive Company,colgate.ie,Health And Fitness,IE,Tier 1,50,,16196,No
187,,riocarchevroletpetrolina.com.br,Automotive And Vehicles,BR,Tier 1,50,,15837,No
188,,myamltreatment.com.au,Health And Fitness,AU,Tier 1,50,,15800,No
189,Abbott Laboratories,abbott.com.sg,Style And Fashion,SG,Tier 1,50,,15800,No
190,Simple Skincare,simpleskincare.com,Health And Fitness,US,Tier 1,50,,15757,No
191,Boston Scientific Corporation,treattheheart.com,Health And Fitness,,Tier 1,50,,15628,No
192,Sanex,sanex.nl,Sports,NL,Tier 1,50,,15599,No
193,Toyota Finance Australia Ltd,toyotafinanceonline.com.au,Automotive And Vehicles,AU,Tier 1,50,,15220,No
194,Basil Toyota,basiltoyota.com,Automotive And Vehicles,US,Tier 1,50,,15004,No
195,Unox NV,unox.nl,Food And Drink,NL,Tier 1,50,,14921,No
196,Bridgestone SchlieAYen,bridgestone.de,Automotive And Vehicles,DE,Tier 1,50,,14905,No
197,Leioa Motor,leioamotor.es,Automotive And Vehicles,ES,Tier 1,50,,14800,No
198,BREZTRI co,breztri.com,Health And Fitness,,Tier 1,50,,14738,No
199,Bridgestone Corporation,bridgestone.it,Sports,IT,Tier 1,50,,14587,No
200,Lavazza ZA,lavazza.co.za,Food And Drink,ZA,Tier 1,50,,14550,No
201,Volkswagen,vw.ca,Automotive And Vehicles,CA,Tier 1,50,,14204,No
202,BMW,bmwmyanmar.com,Automotive And Vehicles,DE,Tier 1,50,,14100,No
203,,testingprostatecancer.com,Health And Fitness,,Tier 1,50,,14070,No
204,WSzW w Gorzowie Wlkp. Sp. z o.o,gorzow.pl,Sports,US,Tier 1,50,,14069,No
205,Frankfort Toyota,frankforttoyota.com,Automotive And Vehicles,US,Tier 1,50,,13913,No
206,,customerpreferencecenter.com,Automotive And Vehicles,,Tier 1,50,,13800,No
207,,actonckd-eg.com,Health And Fitness,,Tier 1,50,,13750,No
208,,rangerover.com,Automotive And Vehicles,,Tier 1,50,,13635,No
209,Browning Arms Company,browning.com,Style And Fashion,US,Tier 1,50,,13570,No
210,LYBALVI inc,lybalvi.com,Health And Fitness,US,Tier 1,50,,13095,No
211,renault,renault.hr,Automotive And Vehicles,FR,Tier 1,50,,13077,No
212,Mid State Toyota,midstatetoyota.com,Automotive And Vehicles,US,Tier 1,50,,13057,No
213,Interface Inc,interface.com.cn,Home And Garden,CN,Tier 1,50,,13000,No
214,Fred Hutchinson Cancer Research Center,obliteride.org,Health And Fitness,US,Tier 1,50,,12925,No
215,BMW,bmwjamaica.com,Automotive And Vehicles,DE,Tier 1,50,,12700,No
216,Delta Dental Plan of New Mexico Inc,deltadentalnm.com,Health And Fitness,US,Tier 1,50,,12314,No
217,Bridgestone Corporation,bridgestone.cz,Automotive And Vehicles,FR,Tier 1,50,,12240,No
218,The Medical Staff of Cooley Dickinson Hospital Inc,cooleydickinson.org,Health And Fitness,US,Tier 1,50,,12205,No
219,,volkswagen-jamaica.com,Automotive And Vehicles,GB,Tier 1,50,,12200,No
220,,indooroopillyshopping.com.au,Shopping,AU,Tier 1,50,,12114,No
221,Abbott Laboratorios Do Brasil Ltda,abbottbrasil.com.br,Health And Fitness,BR,Tier 1,50,,11890,No
222,South Coast Toyota,southcoasttoyota.com,Automotive And Vehicles,US,Tier 1,50,,11779,No
223,,casulamall.com.au,Food And Drink,AU,Tier 1,50,,11727,No
224,,imfinzihcp.com,Health And Fitness,,Tier 1,50,,11718,No
225,Kia Motors Nederland B.V,kia.nl,Automotive And Vehicles,NL,Tier 1,50,,11530,No
226,Toyota Polska,toyotaostroleka.pl,Automotive And Vehicles,US,Tier 1,50,,11443,No
227,Toyota Polska,toyota.katowice.pl,Automotive And Vehicles,US,Tier 1,50,,11443,No
228,,kingssquare.com.au,Shopping,AU,Tier 1,50,,11330,No
229,Recepedia,recepedia.com,Food And Drink,,Tier 1,50,,11278,No
230,Toyota Cesko,toyota-emilfrey.cz,Automotive And Vehicles,CZ,Tier 1,50,,11189,No
231,GASGAS MOTORCYCLES GmbH,gasgas.com,Automotive And Vehicles,,Tier 1,50,,11183,No
232,Toyota Polska,toyota-zg.pl,Automotive And Vehicles,US,Tier 1,50,,11043,No
233,Danone Ltd,oykos.co.uk,Food And Drink,GB,Tier 1,50,,11012,No
234,Puratos Group,puratos-konding.hr,Food And Drink,HR,Tier 1,50,,10967,No
235,,cavatoyota.com,Automotive And Vehicles,US,Tier 1,50,,10856,No
236,The Bartell Drug Company,bartelldrugs.com,Food And Drink,US,Tier 1,50,,10775,No
237,Toyota Slovensko,toyotaprievidza.sk,Automotive And Vehicles,SK,Tier 1,50,,10707,No
238,Toyota Polska,toyota-bialapodlaska.com.pl,Automotive And Vehicles,US,Tier 1,50,,10707,No
239,Mercedes-Benz Mexico S. de R.L. de C.V.,mercedes-benz.com.mx,Automotive And Vehicles,MX,Tier 1,50,,10660,No
240,,toyotahemet.com,Automotive And Vehicles,US,Tier 1,50,,10556,No
241,Algida Czech Republic,algida.cz,Food And Drink,,Tier 1,50,,10521,No
242,Moog Inc,moog.es,Home And Garden,ES,Tier 1,50,,10260,No
243,bavariatt.sk,bavariatt.sk,Automotive And Vehicles,SK,Tier 1,50,,10213,No
244,Autostadt GmbH,volkswagen-zubehoer.de,Automotive And Vehicles,DE,Tier 1,50,,10100,No
245,Shell PLC,shell.com.ar,Automotive And Vehicles,NL,Tier 1,50,,10040,No
246,,toyota7su.kz,Automotive And Vehicles,,Tier 1,50,,9930,No
247,Mercedes-Benz,mercedes-benz.com.au,Automotive And Vehicles,DE,Tier 1,50,,9820,No
248,Avacon AG,avacon.de,Sports,DE,Tier 1,50,,9812,No
249,ALCO Partners LLC,alcopartners.com,Automotive And Vehicles,US,Tier 1,50,,9800,No
250,joyatparty,joyatparty.com.my,Home And Garden,ZA,Tier 1,50,,9800,No
251,Primeiros 1000 dias,primeiros1000dias.com.br,Health And Fitness,BR,Tier 1,50,,9682,No
252,fusionZONE Automotive LLC,greenstoyotaoflexington.com,Automotive And Vehicles,US,Tier 1,50,,9616,No
253,Vancouver Girls Softball Association,vancouvergirlssoftball.org,Sports,,Tier 1,50,,9506,No
254,,kl-motors.es,Automotive And Vehicles,,Tier 1,50,,9500,No
255,Biogen Canada Inc,biogentherapies.ca,Health And Fitness,ES,Tier 1,50,,9500,No
256,80 Collins Melbourne,80collins.com.au,Food And Drink,AU,Tier 1,50,,9437,No
257,Puyallup Modern Dentistry,puyallupmoderndentistry.com,Health And Fitness,US,Tier 1,50,,9410,No
258,Solutran Inc,healthybenefitsplus.com,Food And Drink,US,Tier 1,50,,9207,No
259,Mercedes-Benz,mercedes-benz.com.my,Automotive And Vehicles,DE,Tier 1,50,,9188,No
260,LINIC,linic.pt,Sports,PT,Tier 1,50,,9121,No
261,www.controlatudolor.es,controlatudolor.es,Home And Garden,,Tier 1,50,,9043,No
262,,jeep-dubai.com,Automotive And Vehicles,US,Tier 1,50,,9000,No
263,Le Royal Monceau,leroyalmonceau.com,Food And Drink,FR,Tier 1,50,,8885,No
264,Mercedes-Benz AG,mercedes-benz.com.bo,Automotive And Vehicles,BO,Tier 1,50,,8700,No
265,,toyotakilbarrack.ie,Automotive And Vehicles,,Tier 1,50,,8500,No
266,Chrysler Group,jeep.com.ph,Automotive And Vehicles,US,Tier 1,50,,8400,No
267,Chrysler Group,jeep.com.sg,Automotive And Vehicles,US,Tier 1,50,,8400,No
268,,iblues.it,Style And Fashion,IT,Tier 1,50,,8050,No
269,,generaltire.com.ec,Sports,EC,Tier 1,50,,7668,No
270,De Vegetarische Slager,devegetarischeslager.nl,Food And Drink,,Tier 1,50,,7600,No
271,Mercedes-Benz AG,mbparramatta.com.au,Automotive And Vehicles,DE,Tier 1,50,,7567,No
272,Lakme Salon,lakmesalon.in,Style And Fashion,IN,Tier 1,50,,7530,No
273,Mercedes-Benz,mercedes-benz.com.ar,Automotive And Vehicles,DE,Tier 1,50,,7350,No
274,Mercedes-Benz,mercedes-benz.com.hk,Automotive And Vehicles,HK,Tier 1,50,,7260,No
275,Sudtirol Alto Adige,suedtirol.info,Sports,IT,Tier 1,50,,7097,No
276,Daimler Truck AG,mercedes-benz-trucks-sieg.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
277,Daimler Truck AG,mercedes-benz-trucks-restaco.ro,Automotive And Vehicles,RO,Tier 1,50,,7000,No
278,Daimler Truck AG,mercedes-benz-trucks-avg.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
279,Daimler Truck AG,mercedes-benz-trucks-merbag-aegerten.ch,Automotive And Vehicles,CH,Tier 1,50,,7000,No
280,LACHIC,lachic.jp,Food And Drink,,Tier 1,50,,7000,No
281,Mercedes-Benz AG,mercedes-benz-tallervictoria.es,Automotive And Vehicles,ES,Tier 1,50,,7000,No
282,Daimler Truck AG,mercedes-benz-trucks-beresa.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
283,,mercedes-benz-reissmann.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
284,,mercedes-benz-flackus-maurer.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
285,Daimler Truck AG,mercedes-benz-trucks-wackenhut.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
286,Daimler Truck AG,mercedes-benz-trucks-interservice.it,Automotive And Vehicles,IT,Tier 1,50,,7000,No
287,Daimler Truck AG,mercedes-benz-trucks-brinkmann.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
288,Daimler Truck AG,mercedes-benz-trucks-btc.pl,Automotive And Vehicles,DE,Tier 1,50,,7000,No
289,Daimler Truck AG,mercedes-benz-trucks-domenicoesposito.it,Automotive And Vehicles,IT,Tier 1,50,,7000,No
290,Daimler Truck AG,mercedes-benz-trucks-ruppert.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
291,,mercedes-benz-korn.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
292,Daimler Truck AG,mercedes-benz-trucks-partsch.at,Automotive And Vehicles,AT,Tier 1,50,,7000,No
293,Daimler Truck AG,mercedes-benz-trucks-mensch.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
294,,mercedes-benz-kalbacher.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
295,Daimler Truck AG,mercedes-benz-trucks-sandonauto.it,Automotive And Vehicles,IT,Tier 1,50,,7000,No
296,Daimler Truck AG,mercedes-benz-trucks-ebert.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
297,Daimler Truck AG,mercedes-benz-trucks-centrostar.pt,Automotive And Vehicles,PT,Tier 1,50,,7000,No
298,Daimler Truck AG,mercedes-benz-trucks-neu-ulm.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
299,,mercedes-benz-schloz-woellenstein.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
300,Daimler Truck AG,mercedes-benz-trucks-dto.ro,Automotive And Vehicles,RO,Tier 1,50,,7000,No
